 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
 1.7063900435771587E9,-210.1524583,-560.8054782,-1935.173833,-202.4931432
 1.7063900435777044E9,-231.6942821,-618.4896951,-2012.963752,-233.8484644
 1.7063900435777044E9,-212.0672871,-592.8788602,-1989.267746,-212.5459943
 1.706390043578462E9,-212.7853479,-567.9860861,-1926.796457,-201.7750824
 1.706390043578462E9,-226.4285029,-603.1710649,-1979.454249,-219.7266022
 1.706390043579182E9,-225.7104421,-613.4632695,-2009.612802,-227.6252709
 1.706390043579182E9,-207.7589223,-554.342931,-1931.822883,-191.7222313
 1.7063900435897367E9,-222.1201382,-583.5440699,-1948.577635,-208.4769831
 1.7063900435897367E9,-238.87489,-619.4471095,-2025.410139,-240.5503651
 1.7063900436048353E9,-207.0408615,-577.7995836,-1967.965276,-219.7266022
 1.7063900436048353E9,-209.6737511,-570.379622,-1937.806723,-200.3389608
 1.70639004362066E9,-244.1406691,-625.4309494,-2015.117935,-228.3433317
 1.70639004362066E9,-220.9233702,-596.2298105,-1992.85805,-214.7001767
 1.7063900436214252E9,-185.0203306,-543.093312,-1912.674595,-191.2435241
 1.7063900436214252E9,-208.9556903,-587.613081,-1972.991701,-217.0937126
 1.7063900436348648E9,-202.014436,-589.5279098,-1997.405768,-220.9233702
 1.7063900436348648E9,-176.8823083,-534.4765825,-1918.419081,-182.6267946
 1.706390043650544E9,-184.780977,-547.1623231,-1932.780297,-190.7648169
 1.706390043650544E9,-168.744286,-562.7203069,-1976.582005,-193.6370601
 1.7063900436512876E9,-131.1657712,-510.0625156,-1906.690755,-152.707595
 1.7063900436512876E9,-132.6018928,-494.0258245,-1890.893418,-179.0364907
 1.7063900436649885E9,-136.1921968,-519.6366594,-1944.987331,-169.2229932
 1.7063900436649885E9,-112.2568371,-486.3665094,-1935.173833,-202.2537896
 1.7063900436806316E9,-96.69885325,-443.0435084,-1835.363383,-86.64600217
 1.7063900436806316E9,-112.7355443,-483.4942663,-1882.037335,-98.85303563
 1.7063900436813056E9,-126.1393457,-501.2064325,-1918.897788,-116.8045554
 1.7063900436813056E9,-85.92794138,-442.8041548,-1852.118135,-131.4051248
 1.7063900436948152E9,-122.5490417,-477.9891335,-1888.021174,-176.8823083
 1.7063900436948152E9,-135.474136,-521.072781,-1955.758242,-162.9997997
 1.70639004371075E9,-122.0703346,-480.6220231,-1900.467561,-140.2612079
 1.70639004371075E9,-138.3463792,-487.5632774,-1873.420605,-138.3463792
 1.706390043711366E9,-173.5313579,-556.0184062,-1958.391132,-183.1055018
 1.706390043711366E9,-159.1701421,-533.2798145,-1941.397027,-162.9997997
 1.7063900437250147E9,-169.4623468,-511.9773443,-1895.68049,-154.1437166
 1.7063900437250147E9,-212.5459943,-582.1079483,-1971.316226,-195.7912425
 1.7063900437405388E9,-205.8440936,-581.8685947,-1987.113564,-194.8338281
 1.7063900437405388E9,-188.8499882,-538.30624,-1921.530678,-170.6591148
