 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
 1.7081039138206623E9, -334.3769752383232, -1758.5308783650398, -2222.3981496691704, -195.07318168878555
 1.7081039138206623E9, -403.0714576244354, -1653.215295612812, -2146.2837057709694, -429.40035331249237
 1.7081039138363366E9, -316.90416264533997, -1606.7806977629662, -2061.3131787776947, -414.5604302883148
 1.7081039138363366E9, -295.8410460948944, -1733.1593970656395, -2183.144159734249, -190.04675614833832
 1.7081039138370905E9, -393.97602093219757, -1698.4531254768372, -2190.3247676491737, -336.77051120996475
 1.7081039138370905E9, -347.5414230823517, -1585.4782276153564, -2057.4835212230682, -471.76594001054764
 1.7081039138506649E9, -280.52241587638855, -1693.9054071307182, -2131.443782746792, -236.4813539981842
 1.7081039138506649E9, -362.86005330085754, -1729.5690931081772, -2208.7549946308136, -250.36386263370514
 1.7081039138663726E9, -371.71613639593124, -1595.531078696251, -2086.2059528827667, -470.56917202472687
 1.7081039138663726E9, -275.017283141613, -1635.5031294226646, -2086.2059528827667, -319.7764058113098
 1.708103913867093E9, -326.7176601290703, -1750.871563255787, -2211.148530602455, -189.0893417596817
 1.708103913867093E9, -397.5663248896599, -1648.9069308638573, -2138.6243906617165, -419.58685582876205
 1.7081039138806727E9, -298.9526428580284, -1600.0787970423698, -2049.345498919487, -402.83210402727127
 1.7081039138806727E9, -291.53268134593964, -1734.116811454296, -2179.0751485824585, -184.78097701072693
 1.7081039138963761E9, -385.5986450314522, -1695.102175116539, -2178.59644138813, -325.76024574041367
 1.7081039138963761E9, -336.5311576128006, -1580.4518020749092, -2053.1751564741135, -469.61175763607025
 1.708103913897077E9, -269.51215040683746, -1686.4854456186295, -2130.007661163807, -239.1142435669899
 1.708103913897077E9, -368.3651860356331, -1737.4677618145943, -2216.4143097400665, -254.43287378549576
 1.7081039139106483E9, -384.4018770456314, -1600.0787970423698, -2092.907853603363, -479.1859015226364
 1.7081039139106483E9, -290.0965597629547, -1648.9069308638573, -2095.3013895750046, -329.350549697876
 1.7081039139263852E9, -337.72792559862137, -1766.668900668621, -2224.5523320436478, -201.5357288122177
