timestamps,TP9,AF7,AF8,TP10,Right AUX
1533045069.532,23.438,65.918,25.391,19.531,43.945
1533045069.536,26.855,-13.672,16.113,18.066,64.453
1533045069.540,39.062,-20.996,11.230,18.555,53.223
1533045069.544,36.133,97.168,31.738,22.461,48.828
1533045069.548,38.574,72.754,33.691,28.809,3.906
1533045069.552,34.668,39.551,34.180,27.344,-31.738
1533045069.555,25.391,6.348,27.344,18.066,7.324
1533045069.559,38.086,33.691,28.809,24.414,40.039
1533045069.563,35.156,101.562,32.227,31.250,51.758
1533045069.567,28.320,81.543,25.391,26.855,73.730
1533045069.571,30.273,24.902,22.461,24.902,25.879
1533045069.575,31.738,-43.457,16.113,20.996,-35.156
1533045069.579,45.898,2.441,13.672,18.555,-55.664
1533045069.583,41.504,109.375,22.461,29.297,1.953
1533045069.587,23.438,80.566,24.414,28.809,26.855
1533045069.591,26.367,49.805,10.254,23.926,-3.906
1533045069.594,23.926,6.836,7.324,24.414,-5.371
1533045069.598,23.926,-28.320,19.531,18.066,19.531
1533045069.602,28.809,58.594,29.785,15.625,60.547
1533045069.606,24.414,75.195,25.879,20.508,-7.324
1533045069.610,13.672,57.617,25.391,16.602,-2.930
1533045069.614,6.836,17.090,14.160,8.789,52.246
1533045069.618,27.832,-23.926,26.855,19.043,41.504
1533045069.622,31.738,36.133,32.715,17.090,31.250
1533045069.626,20.020,40.039,3.418,15.137,-20.508
1533045069.630,18.555,38.574,9.277,21.973,-5.859
1533045069.634,10.742,48.828,21.973,10.742,72.754
1533045069.637,18.555,-62.988,9.277,10.742,26.855
1533045069.641,29.297,-10.254,8.789,14.648,-1.465
1533045069.645,30.273,110.352,25.879,16.113,66.406
1533045069.649,25.879,61.523,27.344,20.020,28.320
1533045069.653,18.555,15.137,19.531,20.508,9.277
1533045069.657,24.414,-9.766,20.020,18.066,-9.766
1533045069.661,29.297,57.129,28.809,21.973,46.387
1533045069.665,25.879,54.688,24.414,21.484,126.465
1533045069.669,27.344,4.395,18.066,21.484,49.316
1533045069.673,28.320,0.977,25.879,22.461,-67.383
1533045069.676,24.902,-14.648,26.367,20.996,-37.109
1533045069.680,24.414,24.902,26.367,20.508,17.090
1533045069.684,26.855,61.523,28.809,17.578,15.137
1533045069.688,22.461,48.828,22.949,17.578,-13.672
1533045069.692,15.137,52.734,24.902,15.625,-6.348
1533045069.696,15.137,-23.438,26.367,10.742,59.082
1533045069.700,20.996,-34.668,21.484,3.418,20.020
1533045069.704,20.020,85.938,31.738,13.672,-6.836
1533045069.708,15.625,80.078,33.203,20.020,62.500
1533045069.712,17.578,8.789,21.973,20.996,40.039
1533045069.716,19.043,-66.895,16.602,15.625,-29.297
1533045069.719,21.973,-30.273,25.879,9.766,35.645
1533045069.723,22.461,81.543,40.527,19.043,41.992
1533045069.727,21.973,83.496,41.992,20.020,60.059
1533045069.731,17.578,48.828,35.645,20.508,75.684
1533045069.735,15.625,-10.742,30.273,18.066,70.801
1533045069.739,20.996,-18.066,28.809,11.230,69.336
1533045069.743,24.902,69.824,33.691,18.066,117.188
1533045069.747,26.855,60.059,39.062,24.414,117.676
1533045069.751,22.461,18.066,37.109,17.090,33.203
1533045069.755,8.301,-21.973,23.438,10.254,40.527
1533045069.759,20.508,-37.109,19.043,18.555,47.363
1533045069.762,36.133,25.391,29.297,27.832,22.461
1533045069.766,35.156,55.176,36.133,28.809,4.883
1533045069.770,30.273,43.457,33.691,29.297,-11.719
1533045069.774,20.020,-2.930,22.949,23.926,-26.367
1533045069.778,24.414,-63.477,14.160,11.230,24.902
1533045069.782,34.180,24.414,20.508,15.137,47.363
1533045069.786,26.855,90.332,24.414,19.043,13.184
1533045069.790,16.113,46.387,20.996,17.578,-7.324
1533045069.794,13.672,-6.348,10.742,19.531,-3.906
1533045069.798,15.625,-17.090,8.789,12.695,26.367
1533045069.801,30.762,48.340,20.996,15.625,1.465
1533045069.805,26.855,38.574,20.020,21.484,-18.066
1533045069.809,7.324,27.344,18.066,14.648,20.020
1533045069.813,6.348,20.020,19.043,10.254,-2.930
1533045069.817,12.207,-48.340,14.160,9.766,-16.113
1533045069.821,17.090,7.812,18.555,5.371,-6.348
1533045069.825,16.113,113.281,28.320,8.789,13.672
1533045069.829,12.695,84.961,24.902,19.531,31.738
1533045069.833,8.301,35.645,17.090,12.695,22.949
1533045069.837,15.137,2.930,16.602,6.836,13.672
1533045069.841,20.020,29.785,19.043,12.207,-26.855
1533045069.844,17.090,73.242,18.555,15.625,2.930
1533045069.848,16.113,52.246,20.508,19.531,74.707
1533045069.852,12.695,-5.371,22.461,17.578,39.551
1533045069.856,19.043,-68.848,9.766,11.230,71.289
1533045069.860,32.715,-25.391,11.719,20.020,80.566
1533045069.864,10.254,80.566,39.062,17.578,-2.441
1533045069.868,-5.371,64.941,34.180,-9.277,-12.695
1533045069.872,0.488,31.250,16.602,-12.695,12.207
1533045069.876,0.977,-26.367,14.648,-4.883,3.906
1533045069.880,11.230,4.395,22.461,5.859,18.066
